카페id,카페이름,가격목록,가격종류수,최소가,최대가,대표가(중앙값)
030c669b2b88,카페숲안에 광주점,"[500, 3000, 3500, 4500, 5000, 5800, 6000, 7000, 7500]",9,500,7500,5000
1206227228,이븐베터커피,"[500, 1000, 3000, 4000, 5000, 6000, 6500, 7500]",8,500,7500,4500
1251060560,설빙 용봉점,[16500],1,16500,16500,16500
1261341412,어썸브릿지,[6000],1,6000,6000,6000
1337029052,앤셜리,"[5000, 6000]",2,5000,6000,5500
1382351772,글로어 전대정문점,"[900, 3200, 3500, 3800, 3900, 4000, 4200, 4600]",8,900,4600,3850
1388456236,크레센트,"[930, 2200, 2800, 5000, 18600, 28000, 40000]",7,930,40000,5000
1423412043,쿠크당,"[3000, 3200, 4000, 5000, 7500, 8500, 11400]",7,3000,11400,5000
1439762441,인크커피 광주기아챔피언스필드점,"[4900, 7000]",2,4900,7000,5950
1476552993,다스브로트,"[3000, 3300, 3500, 4000, 4300, 4500, 5500, 6000, 6500, 6800]",10,3000,6800,4400
1483507797,빈드럭스,"[3800, 4500, 4900, 5000, 5800, 6700, 7000, 9000]",8,3800,9000,5400
1505230832,월출향가,"[4200, 4500, 6500, 7000, 8000, 8500, 9000, 10000, 20000, 25000, 35000]",11,4200,35000,8500
1553976183,화순하다랩,"[500, 3500, 4000, 5100, 5400, 6300, 7200, 7600, 12000]",9,500,12000,5400
1693410528,크레버터 하우스,"[1000, 1500, 4500, 5500, 7900, 8600, 8900, 30000]",8,1000,30000,6700
1809325136,하이데이지,"[4500, 4700, 4800, 7300, 9800]",5,4500,9800,4800
1923841342,앙호두 광주1호 첨단지구점,"[1800, 2200, 2500, 4000, 7500, 10000, 12000]",7,1800,12000,4000
1986829086,케주베이커리 전대상대점,"[2500, 2700, 3000, 3300, 3500, 3900, 5000, 5500, 6000]",9,2500,6000,3500
45f5706cf717,카페214,[28000],1,28000,28000,28000
641907648,베러데이즈,"[4300, 6800, 23800]",3,4300,23800,6800
8731abe92d0c,미미당906 광주점,"[4500, 6000, 8500]",3,4500,8500,6000
9218f221b0da,스위트라라,"[6000, 17000, 25000]",3,6000,25000,17000
bcca2e2f1dfb,반헤이브,"[4200, 5000, 5500, 6300, 6500, 7000, 14000, 16000, 18000, 19000, 20000, 21000, 22000, 23000, 48000]",15,4200,48000,16000
cc65bfda1cc1,온다방,"[1000, 2000, 2500, 2700, 2800, 3000, 3300, 3500, 3800, 5000, 5600, 15000, 30000]",13,1000,30000,3300
d61127bf3924,카페 온새미로,"[1000, 2000, 2800, 3900, 4000, 4800, 6400, 8000, 30300]",9,1000,30300,4000
f8a4b5b58d2a,라이트라이트샵,"[2700, 5600, 6800]",3,2700,6800,5600
